
Host: hrgrimsl-XPS-13-9370

Timers On : Fri Mar 13 14:33:49 2020
Timers Off: Fri Mar 13 14:33:52 2020

Wall Time:        3.10 seconds

| JK: USO2AO                :      0.000u      0.000s      0.000w     72 calls
| JK: JK                    :      0.000u      0.000s      0.000w     72 calls
| | PK computes JK          :      0.000u      0.000s      0.000w     72 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     72 calls
HF: Form F                  :      0.000u      0.000s      0.000w     72 calls
HF: DIIS                    :      0.000u      0.000s      0.004w     72 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.002w     63 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.002w     54 calls
| | bMatrix setup           :      0.000u      0.000s      0.001w     54 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.001w     54 calls
| | New vector              :      0.000u      0.000s      0.000w     54 calls
HF: Form C                  :      0.000u      0.000s      0.001w     72 calls
HF: Form D                  :      0.000u      0.000s      0.000w     72 calls
DFMP2 Singles               :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                   :      0.017u      0.017s      0.008w      1 calls
| DFMP2 (A|mn)              :      0.017u      0.017s      0.001w      1 calls
| DFMP2 (A|mn)C_mi          :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (A|mi)C_na          :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Write           :      0.000u      0.000s      0.000w      1 calls
DFMP2 Qia                   :      0.017u      0.000s      0.017w      1 calls
| DFMP2 Metric              :      0.017u      0.000s      0.016w      1 calls
| DFMP2 Aia Read            :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (Q|A)(A|ia)         :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Qia Write           :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Qia Read            :      0.000u      0.000s      0.000w      2 calls
CCtriples                   :      0.000u      0.000s      0.000w      1 calls
| ET_RHF                    :      0.000u      0.000s      0.000w      1 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Fri Mar 13 14:51:08 2020
Timers Off: Fri Mar 13 14:51:11 2020

Wall Time:        3.02 seconds

Total PK formation time     :      0.133u      0.000s      0.060w      9 calls
HF: Form H                  :      0.000u      0.000s      0.006w      9 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      9 calls
HF: Guess                   :      0.200u      0.000s      0.160w      9 calls
SAD Guess                   :      0.183u      0.000s      0.146w      9 calls
HF: Form G                  :      0.000u      0.000s      0.001w     72 calls
JK: D                       :      0.000u      0.000s      0.000w     72 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     72 calls
JK: JK                      :      0.000u      0.000s      0.000w     72 calls
PK computes JK              :      0.000u      0.000s      0.000w     72 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     72 calls
HF: Form F                  :      0.000u      0.000s      0.000w     72 calls
HF: DIIS                    :      0.033u      0.000s      0.004w     72 calls
DIISManager::add_entry      :      0.017u      0.000s      0.002w     63 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.002w     54 calls
bMatrix setup               :      0.000u      0.000s      0.001w     54 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.001w     54 calls
New vector                  :      0.000u      0.000s      0.000w     54 calls
HF: Form C                  :      0.000u      0.000s      0.001w     72 calls
HF: Form D                  :      0.000u      0.000s      0.000w     72 calls
DFMP2 Singles               :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                   :      0.017u      0.000s      0.008w      1 calls
DFMP2 (A|mn)                :      0.000u      0.000s      0.001w      1 calls
DFMP2 (A|mn)C_mi            :      0.017u      0.000s      0.000w      1 calls
DFMP2 (A|mi)C_na            :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia Write             :      0.000u      0.000s      0.000w      1 calls
DFMP2 Qia                   :      0.017u      0.000s      0.016w      1 calls
DFMP2 Metric                :      0.017u      0.000s      0.016w      1 calls
DFMP2 Aia Read              :      0.000u      0.000s      0.000w      1 calls
DFMP2 (Q|A)(A|ia)           :      0.000u      0.000s      0.000w      1 calls
DFMP2 Qia Write             :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                :      0.000u      0.000s      0.000w      1 calls
DFMP2 Qia Read              :      0.000u      0.000s      0.000w      2 calls
CCtriples                   :      0.000u      0.000s      0.001w      1 calls
ET_RHF                      :      0.000u      0.000s      0.000w      1 calls

-----------------------------------------------------------
Total PK formation time     :      0.133u      0.000s      0.060w      9 calls
HF: Form H                  :      0.000u      0.000s      0.006w      9 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      9 calls
HF: Guess                   :      0.200u      0.000s      0.160w      9 calls
| SAD Guess                 :      0.183u      0.000s      0.146w      9 calls
HF: Form G                  :      0.000u      0.000s      0.001w     72 calls
| JK: D                     :      0.000u      0.000s      0.000w     72 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     72 calls
| JK: JK                    :      0.000u      0.000s      0.000w     72 calls
| | PK computes JK          :      0.000u      0.000s      0.000w     72 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     72 calls
